direction,qty,entry_time_utc,exit_time_utc,entry_price,exit_price,pnl,commission,mae,mfe,entry_tag,exit_tag
long,1,2026-04-21T16:09:39.708000,2026-04-21T20:31:48.408000,26650.5000,26816.2500,330.46,1.04,-55.00,333.50,long,eod
short,1,2026-04-22T20:10:10.500000,2026-04-22T20:18:27.132000,27037.0000,26949.5000,173.96,1.04,-2.50,378.00,short,reverse
long,1,2026-04-22T20:18:27.184000,2026-04-22T20:30:31.252000,26950.0000,27071.7500,242.46,1.04,-16.50,246.00,long,eod
short,1,2026-04-23T13:31:10.164000,2026-04-23T13:53:17.448000,26863.2500,26780.0000,165.46,1.04,-173.50,366.50,short,reverse
long,1,2026-04-23T13:53:17.596000,2026-04-23T14:58:45.876000,26782.0000,26880.2500,195.46,1.04,-12.50,401.00,long,reverse
short,1,2026-04-23T14:58:45.916000,2026-04-23T15:58:54.456000,26879.2500,26941.0000,-124.54,1.04,-129.50,75.00,short,reverse
long,1,2026-04-23T16:01:00.180000,2026-04-23T20:30:23.268000,26945.0000,27134.0000,376.96,1.04,-51.50,384.00,long,eod
short,1,2026-04-26T18:04:44.264000,2026-04-26T20:46:41.140000,27356.7500,27438.0000,-163.54,1.04,-164.00,26.00,short,eod
long,1,2026-04-27T15:49:26.372000,2026-04-27T20:27:38.576000,27444.0000,27450.7500,12.46,1.04,-66.50,137.00,long,eod
short,1,2026-04-28T13:33:00.528000,2026-04-28T19:57:51.120000,27096.5000,27243.7500,-295.54,1.04,-294.50,3.50,short,reverse
long,1,2026-04-28T19:58:08.360000,2026-04-28T20:30:04.976000,27244.5000,27293.2500,96.46,1.04,-1.00,98.50,long,eod
short,1,2026-04-29T14:08:32.480000,2026-04-29T14:36:40.444000,27193.0000,27258.0000,-131.04,1.04,-132.00,70.00,short,reverse
long,1,2026-04-29T14:36:40.820000,2026-04-29T16:01:00.524000,27259.7500,27269.7500,18.96,1.04,-173.50,220.50,long,reverse
short,1,2026-04-29T16:01:09.884000,2026-04-29T16:02:46.252000,27270.5000,27341.0000,-142.04,1.04,-141.00,64.50,short,reverse
long,1,2026-04-29T16:02:47.552000,2026-04-29T16:05:29.840000,27342.0000,27310.2500,-64.54,1.04,-64.00,138.00,long,reverse
short,1,2026-04-29T16:05:29.840000,2026-04-29T16:21:04.048000,27309.7500,27192.0000,234.46,1.04,-71.50,441.50,short,reverse
long,1,2026-04-29T16:21:13.236000,2026-04-29T16:56:38.896000,27193.0000,27197.0000,6.96,1.04,-1.50,211.50,long,reverse
short,1,2026-04-29T16:56:46.604000,2026-04-29T18:01:13.356000,27196.0000,27250.0000,-109.04,1.04,-108.00,95.00,short,reverse
long,1,2026-04-29T18:01:13.360000,2026-04-29T20:39:41.952000,27250.5000,27622.0000,741.96,1.04,-6.00,745.00,long,eod
short,1,2026-04-30T13:30:00.476000,2026-04-30T15:10:36.136000,27462.7500,27591.7500,-259.04,1.04,-261.00,2.50,short,reverse
long,1,2026-04-30T15:10:36.136000,2026-04-30T20:46:05.972000,27591.7500,27639.2500,93.96,1.04,-74.00,112.50,long,eod
short,1,2026-05-01T16:19:41.508000,2026-05-01T16:57:56.224000,27799.5000,27760.7500,76.46,1.04,-14.00,87.00,short,eod
long,1,2026-05-03T18:00:00.108000,2026-05-03T19:11:44.560000,27888.2500,27830.2500,-117.04,1.04,-127.00,76.00,long,reverse
short,1,2026-05-03T19:12:42.148000,2026-05-03T20:49:41.780000,27823.7500,27874.2500,-102.04,1.04,-106.00,46.00,short,eod
long,1,2026-05-05T13:30:01.620000,2026-05-05T18:53:09.512000,28145.7500,28360.5000,428.46,1.04,-82.00,636.50,long,reverse
short,1,2026-05-05T18:53:09.512000,2026-05-05T20:30:02.932000,28360.5000,28249.7500,220.46,1.04,-87.50,223.50,short,eod
long,1,2026-05-06T13:31:12.648000,2026-05-06T16:54:56.792000,28592.0000,28698.2500,211.46,1.04,-14.00,416.00,long,reverse
short,1,2026-05-06T16:55:01.108000,2026-05-06T20:43:33.296000,28697.5000,28638.0000,117.96,1.04,-34.00,120.00,short,eod
long,1,2026-05-07T14:07:02.060000,2026-05-07T14:44:40.528000,28709.2500,28614.0000,-191.54,1.04,-191.00,14.50,long,reverse
